layer,depth_m,permeability_md,porosity,avg_So
1,0.5,333.3333333333333,0.2,0.3178968932686516
2,1.5,368.4210526315789,0.2,0.3095149235386352
3,2.5,403.50877192982455,0.2,0.30208473588483603
4,3.5,438.59649122807014,0.2,0.29547424661798743
5,4.5,473.6842105263157,0.2,0.2895726423763969
6,5.5,508.77192982456137,0.2,0.2842852854751705
7,6.5,543.859649122807,0.2,0.2795314825114367
8,7.5,578.9473684210526,0.2,0.2752428205335
9,8.5,614.0350877192982,0.2,0.2713607085764733
10,9.5,649.1228070175438,0.2,0.2678351108034842
11,10.5,649.1228070175439,0.2,0.26783498274260464
12,11.5,614.0350877192982,0.2,0.27136044727979775
13,12.5,578.9473684210526,0.2,0.2752424186805133
14,13.5,543.859649122807,0.2,0.2795309312769618
15,14.5,508.7719298245614,0.2,0.28428457306781935
16,15.5,473.6842105263157,0.2,0.2895717580033277
17,16.5,438.5964912280702,0.2,0.295473183530805
18,17.5,403.50877192982455,0.2,0.3020834910818702
19,18.5,368.42105263157896,0.2,0.3095135001418323
20,19.5,333.3333333333333,0.2,0.3178952901319787
