layer,depth_m,permeability_md,porosity,avg_So
1,0.5,90.9090909090909,0.2,0.7544138121215604
2,1.5,177.03349282296648,0.2,0.697686487698134
3,2.5,263.1578947368421,0.2,0.6185870324713247
4,3.5,349.2822966507176,0.2,0.5290303141690956
5,4.5,435.4066985645933,0.2,0.45394242709213595
6,5.5,521.5311004784688,0.2,0.41177536317094465
7,6.5,607.6555023923444,0.2,0.3872545751607342
8,7.5,693.77990430622,0.2,0.3694603629232783
9,8.5,779.9043062200956,0.2,0.35494375555372804
10,9.5,866.0287081339711,0.2,0.3426592256330627
11,10.5,866.0287081339712,0.2,0.3426590438562912
12,11.5,779.9043062200956,0.2,0.3549433350342243
13,12.5,693.77990430622,0.2,0.36945966903449623
14,13.5,607.6555023923444,0.2,0.38725351220758547
15,14.5,521.5311004784689,0.2,0.4117737111309598
16,15.5,435.4066985645933,0.2,0.4539398093584308
17,16.5,349.28229665071774,0.2,0.5290269655823948
18,17.5,263.1578947368421,0.2,0.6185848498146088
19,18.5,177.0334928229666,0.2,0.6976868751245843
20,19.5,90.9090909090909,0.2,0.7544163477041345
