grid,nx,ny,nz,breakthrough_pv,terminal_recovery_factor
coarse,25,1,10,0.23099999999999996,0.7263336382392961
base,50,1,20,0.24099999999999996,0.7357757175386349
fine,100,1,40,0.25099999999999995,0.741109587031982
