layer,depth_m,permeability_md,porosity,avg_So
1,0.5,166.66666666666666,0.2,0.7152644785521471
2,1.5,201.75438596491227,0.2,0.6872149557272791
3,2.5,236.84210526315786,0.2,0.6559317939664399
4,3.5,271.9298245614035,0.2,0.6227506852310243
5,4.5,307.0175438596491,0.2,0.5879574464691915
6,5.5,342.1052631578947,0.2,0.5518354272241273
7,6.5,377.1929824561403,0.2,0.5148163098168179
8,7.5,412.2807017543859,0.2,0.47995487433524925
9,8.5,447.36842105263156,0.2,0.45261017845482504
10,9.5,482.45614035087715,0.2,0.4321511782140866
11,10.5,517.5438596491227,0.2,0.4165696742517045
12,11.5,552.6315789473684,0.2,0.40459122174175555
13,12.5,587.719298245614,0.2,0.39502265217406224
14,13.5,622.8070175438596,0.2,0.3868541801344911
15,14.5,657.8947368421052,0.2,0.37953371834000826
16,15.5,692.9824561403508,0.2,0.3728185036170392
17,16.5,728.0701754385964,0.2,0.36658428271398796
18,17.5,763.1578947368421,0.2,0.3607522113562191
19,18.5,798.2456140350876,0.2,0.35526417728753723
20,19.5,833.3333333333333,0.2,0.35007268950313636
