i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.280578434661349,0.719421565338651,166.66666666666666
2,1,1,15.0,5.0,0.5,0.23458010109251343,0.7654198989074865,166.66666666666666
3,1,1,25.0,5.0,0.5,0.20657298759206813,0.7934270124079319,166.66666666666666
4,1,1,35.0,5.0,0.5,0.20030875671444615,0.7996912432855539,166.66666666666666
5,1,1,45.0,5.0,0.5,0.20001748136066405,0.7999825186393359,166.66666666666666
6,1,1,55.0,5.0,0.5,0.2000153791098195,0.7999846208901805,166.66666666666666
7,1,1,65.0,5.0,0.5,0.20001570571363578,0.7999842942863642,166.66666666666666
8,1,1,75.0,5.0,0.5,0.20001606850985235,0.7999839314901477,166.66666666666666
9,1,1,85.0,5.0,0.5,0.20001644836700705,0.799983551632993,166.66666666666666
10,1,1,95.0,5.0,0.5,0.20001684331764927,0.7999831566823508,166.66666666666666
11,1,1,105.0,5.0,0.5,0.2000172519895352,0.7999827480104648,166.66666666666666
12,1,1,115.0,5.0,0.5,0.20001767329334158,0.7999823267066584,166.66666666666666
13,1,1,125.0,5.0,0.5,0.20001810627700323,0.7999818937229968,166.66666666666666
14,1,1,135.0,5.0,0.5,0.20001855003847685,0.7999814499615232,166.66666666666666
15,1,1,145.0,5.0,0.5,0.20001900367386566,0.7999809963261344,166.66666666666666
16,1,1,155.0,5.0,0.5,0.20001946623673014,0.7999805337632698,166.66666666666666
17,1,1,165.0,5.0,0.5,0.20001993669749032,0.7999800633025097,166.66666666666666
18,1,1,175.0,5.0,0.5,0.2000204139038095,0.7999795860961905,166.66666666666666
19,1,1,185.0,5.0,0.5,0.20002089655022348,0.7999791034497765,166.66666666666666
20,1,1,195.0,5.0,0.5,0.2000213831690682,0.7999786168309317,166.66666666666666
21,1,1,205.0,5.0,0.5,0.20002187216002457,0.7999781278399755,166.66666666666666
22,1,1,215.0,5.0,0.5,0.2000223618780774,0.7999776381219226,166.66666666666666
23,1,1,225.0,5.0,0.5,0.2000228507805999,0.7999771492194001,166.66666666666666
24,1,1,235.0,5.0,0.5,0.20002333760085367,0.7999766623991463,166.66666666666666
25,1,1,245.0,5.0,0.5,0.2000238215009481,0.7999761784990519,166.66666666666666
26,1,1,255.0,5.0,0.5,0.20002430214452363,0.7999756978554764,166.66666666666666
27,1,1,265.0,5.0,0.5,0.2000247796583477,0.7999752203416524,166.66666666666666
28,1,1,275.0,5.0,0.5,0.200025254493987,0.799974745506013,166.66666666666666
29,1,1,285.0,5.0,0.5,0.20002572724950868,0.7999742727504913,166.66666666666666
30,1,1,295.0,5.0,0.5,0.20002619851996956,0.7999738014800304,166.66666666666666
31,1,1,305.0,5.0,0.5,0.20002666881224726,0.7999733311877527,166.66666666666666
32,1,1,315.0,5.0,0.5,0.20002713851895362,0.7999728614810464,166.66666666666666
33,1,1,325.0,5.0,0.5,0.20002760793037674,0.7999723920696232,166.66666666666666
34,1,1,335.0,5.0,0.5,0.20002807726003866,0.7999719227399613,166.66666666666666
35,1,1,345.0,5.0,0.5,0.2000285466733229,0.7999714533266771,166.66666666666666
36,1,1,355.0,5.0,0.5,0.20002901631037742,0.7999709836896226,166.66666666666666
37,1,1,365.0,5.0,0.5,0.2000294863038597,0.7999705136961404,166.66666666666666
38,1,1,375.0,5.0,0.5,0.20002995678829835,0.7999700432117016,166.66666666666666
39,1,1,385.0,5.0,0.5,0.2000304278999589,0.799969572100041,166.66666666666666
40,1,1,395.0,5.0,0.5,0.200030899759511,0.799969100240489,166.66666666666666
41,1,1,405.0,5.0,0.5,0.20003137242398306,0.7999686275760169,166.66666666666666
42,1,1,415.0,5.0,0.5,0.20003184577876157,0.7999681542212385,166.66666666666666
43,1,1,425.0,5.0,0.5,0.20003231931563267,0.7999676806843673,166.66666666666666
44,1,1,435.0,5.0,0.5,0.20003279169655924,0.7999672083034408,166.66666666666666
45,1,1,445.0,5.0,0.5,0.20003325992694587,0.7999667400730541,166.66666666666666
46,1,1,455.0,5.0,0.5,0.20003371785461266,0.7999662821453873,166.66666666666666
47,1,1,465.0,5.0,0.5,0.20003415361066926,0.7999658463893308,166.66666666666666
48,1,1,475.0,5.0,0.5,0.2000345457230596,0.7999654542769404,166.66666666666666
49,1,1,485.0,5.0,0.5,0.20003485865027795,0.7999651413497221,166.66666666666666
