layer,depth_m,permeability_md,porosity,avg_So
1,0.5,833.3333333333333,0.2,0.2556335317102826
2,1.5,798.2456140350877,0.2,0.25798708794064207
3,2.5,763.1578947368421,0.2,0.260543723055632
4,3.5,728.0701754385964,0.2,0.2633310138413351
5,4.5,692.9824561403508,0.2,0.26638045166914387
6,5.5,657.8947368421052,0.2,0.26973055542220176
7,6.5,622.8070175438596,0.2,0.2734271666405932
8,7.5,587.719298245614,0.2,0.2775268736368168
9,8.5,552.6315789473683,0.2,0.2820982132879988
10,9.5,517.5438596491229,0.2,0.2872273870921102
11,10.5,482.45614035087715,0.2,0.2930209507771929
12,11.5,447.3684210526315,0.2,0.2996143507713995
13,12.5,412.2807017543859,0.2,0.30717812689520485
14,13.5,377.19298245614027,0.2,0.31592838423909364
15,14.5,342.10526315789474,0.2,0.32613864493031275
16,15.5,307.0175438596491,0.2,0.33815315176773525
17,16.5,271.9298245614035,0.2,0.35241244076393174
18,17.5,236.8421052631578,0.2,0.3695316915205
19,18.5,201.75438596491233,0.2,0.3905863257234181
20,19.5,166.66666666666663,0.2,0.41871949804426206
