layer,depth_m,permeability_md,porosity,avg_So
1,0.5,90.9090909090909,0.2,0.5808200840272153
2,1.5,177.03349282296648,0.2,0.41205422188631063
3,2.5,263.1578947368421,0.2,0.3538131073199338
4,3.5,349.2822966507176,0.2,0.32130627014242125
5,4.5,435.4066985645933,0.2,0.29998464864892943
6,5.5,521.5311004784688,0.2,0.2849159607665127
7,6.5,607.6555023923444,0.2,0.2736845004245151
8,7.5,693.77990430622,0.2,0.2649900382799031
9,8.5,779.9043062200956,0.2,0.25807142326830673
10,9.5,866.0287081339711,0.2,0.25244583033500145
11,10.5,866.0287081339712,0.2,0.2524458149255826
12,11.5,779.9043062200956,0.2,0.25807131330513816
13,12.5,693.77990430622,0.2,0.26498981022945683
14,13.5,607.6555023923444,0.2,0.27368412758299876
15,14.5,521.5311004784689,0.2,0.2849154180187173
16,15.5,435.4066985645933,0.2,0.2999838870832095
17,16.5,349.28229665071774,0.2,0.321305314964787
18,17.5,263.1578947368421,0.2,0.3538119351259075
19,18.5,177.0334928229666,0.2,0.4120520729907609
20,19.5,90.9090909090909,0.2,0.5808174915428068
