layer,depth_m,permeability_md,porosity,avg_So
1,0.5,666.6666666666666,0.2,0.2671770992872856
2,1.5,649.1228070175438,0.2,0.2688324986803
3,2.5,631.578947368421,0.2,0.27056798379931857
4,3.5,614.0350877192982,0.2,0.27238844515647925
5,4.5,596.4912280701755,0.2,0.274299975179553
6,5.5,578.9473684210526,0.2,0.2763080208436391
7,6.5,561.4035087719298,0.2,0.27842004583013896
8,7.5,543.859649122807,0.2,0.2806431236772815
9,8.5,526.3157894736842,0.2,0.2829851144241675
10,9.5,508.7719298245614,0.2,0.2854545825585976
11,10.5,491.2280701754386,0.2,0.2880614509235459
12,11.5,473.6842105263157,0.2,0.29081555272693904
13,12.5,456.140350877193,0.2,0.2937280287449478
14,13.5,438.59649122807014,0.2,0.29681064151471703
15,14.5,421.0526315789474,0.2,0.30007680128631287
16,15.5,403.50877192982455,0.2,0.30354012690114424
17,16.5,385.96491228070175,0.2,0.3072156579152212
18,17.5,368.4210526315789,0.2,0.3111199485091926
19,18.5,350.87719298245617,0.2,0.315270964390365
20,19.5,333.3333333333333,0.2,0.31968769043032214
