layer,depth_m,permeability_md,porosity,avg_So
1,0.5,166.66666666666666,0.2,0.4187286881424438
2,1.5,201.75438596491227,0.2,0.3905871775146666
3,2.5,236.84210526315786,0.2,0.3695330551853854
4,3.5,271.9298245614035,0.2,0.35241357888306607
5,4.5,307.0175438596491,0.2,0.3381543299212706
6,5.5,342.1052631578947,0.2,0.326139493602565
7,6.5,377.1929824561403,0.2,0.31592920151714243
8,7.5,412.2807017543859,0.2,0.3071787428697017
9,8.5,447.36842105263156,0.2,0.2996147840821448
10,9.5,482.45614035087715,0.2,0.29302127984115695
11,10.5,517.5438596491227,0.2,0.2872275282917801
12,11.5,552.6315789473684,0.2,0.2820982446410809
13,12.5,587.719298245614,0.2,0.27752677689352373
14,13.5,622.8070175438596,0.2,0.2734270582758838
15,14.5,657.8947368421052,0.2,0.26973035137200374
16,15.5,692.9824561403508,0.2,0.26638015014011884
17,16.5,728.0701754385964,0.2,0.2633306440667825
18,17.5,763.1578947368421,0.2,0.26054327760621004
19,18.5,798.2456140350876,0.2,0.2579865690032295
20,19.5,833.3333333333333,0.2,0.2556329615994709
