layer,depth_m,permeability_md,porosity,avg_So
1,0.5,333.3333333333333,0.2,0.5749440516993154
2,1.5,368.4210526315789,0.2,0.5275539208187285
3,2.5,403.50877192982455,0.2,0.4834999988731099
4,3.5,438.59649122807014,0.2,0.45136286361177064
5,4.5,473.6842105263157,0.2,0.42875064875745533
6,5.5,508.77192982456137,0.2,0.41223266250911544
7,6.5,543.859649122807,0.2,0.3998465009923717
8,7.5,578.9473684210526,0.2,0.3898013552309666
9,8.5,614.0350877192982,0.2,0.38105173403133247
10,9.5,649.1228070175438,0.2,0.37314180295291305
11,10.5,649.1228070175439,0.2,0.37314205486010266
12,11.5,614.0350877192982,0.2,0.381051952412937
13,12.5,578.9473684210526,0.2,0.3898013429033072
14,13.5,543.859649122807,0.2,0.3998462275526915
15,14.5,508.7719298245614,0.2,0.41223205308356425
16,15.5,473.6842105263157,0.2,0.4287496740586899
17,16.5,438.5964912280702,0.2,0.45136134921891147
18,17.5,403.50877192982455,0.2,0.48349777285794204
19,18.5,368.42105263157896,0.2,0.5275511078199999
20,19.5,333.3333333333333,0.2,0.5749413475741556
