i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.2028951260522969,0.7971048739477031,90.9090909090909
2,1,1,15.0,5.0,0.5,0.2001120641729989,0.7998879358270011,90.9090909090909
3,1,1,25.0,5.0,0.5,0.2000154394406793,0.7999845605593208,90.9090909090909
4,1,1,35.0,5.0,0.5,0.20001490822398957,0.7999850917760104,90.9090909090909
5,1,1,45.0,5.0,0.5,0.20001518667185103,0.799984813328149,90.9090909090909
6,1,1,55.0,5.0,0.5,0.20001549786309814,0.7999845021369019,90.9090909090909
7,1,1,65.0,5.0,0.5,0.2000158316782963,0.7999841683217037,90.9090909090909
8,1,1,75.0,5.0,0.5,0.2000161840152468,0.7999838159847532,90.9090909090909
9,1,1,85.0,5.0,0.5,0.20001655234795795,0.799983447652042,90.9090909090909
10,1,1,95.0,5.0,0.5,0.20001693508718976,0.7999830649128102,90.9090909090909
11,1,1,105.0,5.0,0.5,0.20001733105067215,0.7999826689493279,90.9090909090909
12,1,1,115.0,5.0,0.5,0.20001773932064443,0.7999822606793556,90.9090909090909
13,1,1,125.0,5.0,0.5,0.2000181591544612,0.7999818408455388,90.9090909090909
14,1,1,135.0,5.0,0.5,0.20001858984246856,0.7999814101575314,90.9090909090909
15,1,1,145.0,5.0,0.5,0.20001903070889068,0.7999809692911093,90.9090909090909
16,1,1,155.0,5.0,0.5,0.20001948107949433,0.7999805189205057,90.9090909090909
17,1,1,165.0,5.0,0.5,0.20001994022671057,0.7999800597732895,90.9090909090909
18,1,1,175.0,5.0,0.5,0.20002040735910442,0.7999795926408956,90.9090909090909
19,1,1,185.0,5.0,0.5,0.20002088158093645,0.7999791184190636,90.9090909090909
20,1,1,195.0,5.0,0.5,0.20002136184534208,0.7999786381546579,90.9090909090909
21,1,1,205.0,5.0,0.5,0.20002184692891814,0.7999781530710819,90.9090909090909
22,1,1,215.0,5.0,0.5,0.20002233542295594,0.799977664577044,90.9090909090909
23,1,1,225.0,5.0,0.5,0.20002282576626737,0.7999771742337326,90.9090909090909
24,1,1,235.0,5.0,0.5,0.2000233163445889,0.7999766836554111,90.9090909090909
25,1,1,245.0,5.0,0.5,0.20002380565582006,0.7999761943441799,90.9090909090909
26,1,1,255.0,5.0,0.5,0.200024292501341,0.799975707498659,90.9090909090909
27,1,1,265.0,5.0,0.5,0.2000247761429232,0.7999752238570768,90.9090909090909
