layer,depth_m,permeability_md,porosity,avg_So
1,0.5,909.090909090909,0.2,0.3426104506803769
2,1.5,866.0287081339712,0.2,0.3482277590765418
3,2.5,822.9665071770335,0.2,0.3542217425872712
4,3.5,779.9043062200956,0.2,0.36065321855457055
5,4.5,736.8421052631578,0.2,0.3675967377090985
6,5.5,693.77990430622,0.2,0.37515105976162105
7,6.5,650.7177033492823,0.2,0.383467156728002
8,7.5,607.6555023923445,0.2,0.39283736538293607
9,8.5,564.5933014354066,0.2,0.40398334395880575
10,9.5,521.5311004784689,0.2,0.4184508962573982
11,10.5,478.46889952153106,0.2,0.4381493036392468
12,11.5,435.4066985645932,0.2,0.4653460153907719
13,12.5,392.3444976076555,0.2,0.5028352040670413
14,13.5,349.2822966507176,0.2,0.5465683206755654
15,14.5,306.22009569377985,0.2,0.5894242426603276
16,15.5,263.1578947368421,0.2,0.6300600913143504
17,16.5,220.0956937799043,0.2,0.6679825846503321
18,17.5,177.03349282296642,0.2,0.7027643092412736
19,18.5,133.97129186602876,0.2,0.7339729630325976
20,19.5,90.90909090909088,0.2,0.7592706002789265
