time_day,injected_pv,oil_rate_m3_day,water_rate_m3_day,liquid_rate_m3_day,water_cut,cumulative_oil_m3,cumulative_water_m3,recovery_factor,injector_bhp_mpa,producer_bhp_mpa
0.1,1.9999999999999998e-5,132.64763304610216,1.1933699994336033,133.84100304553576,0.008916325881296568,0.0,0.0,0.0,20.3659924962893,18.0
1.0,0.00019999999999999998,54.49034502162603,9.562363369334104e-5,54.49044064525972,1.7548698920580232e-6,84.21209013047768,0.5370595303802835,0.0005263255633154854,19.782790612023472,18.0
11.0,0.0021999999999999997,47.06906866545061,6.064450731692162e-5,47.06912930995792,1.288413620689e-6,592.0091585658608,0.5378408710853348,0.0037000572410366295,19.55976903235148,18.0
21.0,0.0042,47.05888823485344,6.0510084914379044e-5,47.058948744938355,1.2858358830399392e-6,1062.648943067381,0.5384466440464913,0.00664155589417113,19.52758194727805,18.0
31.0,0.006199999999999999,47.059178178077104,6.0393828243589695e-5,47.05923857190535,1.2833575314081937e-6,1533.2392751320338,0.5390511636122812,0.009582745469575209,19.50856944957564,18.0
41.0,0.008199999999999999,47.06214751407081,6.028603730956878e-5,47.06220780010812,1.2809861697442567e-6,2003.8459035927733,0.539654562940047,0.012524036897454831,19.49579428217796,18.0
51.0,0.010199999999999999,47.05892975692011,6.017569492251993e-5,47.05898993261503,1.2787289954307785e-6,2474.4512899477277,0.5402568716012074,0.015465320562173295,19.48620784835397,18.0
61.0,0.012199999999999999,47.05864045181913,6.007357493609639e-5,47.058700525394066,1.2765668041275209e-6,2945.0391409914237,0.5408581179505004,0.018406494631196396,19.478815638771447,18.0
71.0,0.014199999999999997,47.058646000626815,5.99762181284637e-5,47.05870597684494,1.2744978189152667e-6,3415.6255732536533,0.5414583669158233,0.02134765983283533,19.472802573438106,18.0
81.0,0.0162,47.05865506593724,5.988303452176822e-5,47.05871494897176,1.2725174197107283e-6,3886.2120785864736,0.5420576631790744,0.024288825491165456,19.467738244932033,18.0
91.0,0.018199999999999997,47.058666523143586,5.979379642323804e-5,47.05872631694001,1.2706207987978144e-6,4356.798686531878,0.5426560473337995,0.027229991790824234,19.4633521855614,18.0
101.0,0.020199999999999996,47.05907793854078,5.970876715229807e-5,47.059137647307935,1.2688028327207091e-6,4827.3874088403,0.5432535601516771,0.03017117130525187,19.459481004267495,18.0
111.0,0.022199999999999998,47.05856667203579,5.962616563983329e-5,47.058626298201425,1.267061330307302e-6,5297.975631893183,0.5438502348156378,0.03311234769933239,19.455956092848883,18.0
121.0,0.024199999999999996,47.05882670454519,5.954782012232058e-5,47.05888625236531,1.2653894910087792e-6,5768.562598776088,0.5444461047444485,0.03605351624235054,19.452743391770728,18.0
131.0,0.026199999999999998,47.06190958382886,5.94759683078669e-5,47.061969059797164,1.2637798523112463e-6,6239.166280217958,0.5450412236865995,0.03899478925136223,19.449838397528303,18.0
141.0,0.028199999999999996,47.058887802836374,5.939988622255411e-5,47.0589472027226,1.262244264978319e-6,6709.770267151284,0.5456356029592516,0.04193606416969552,19.44692541028401,18.0
151.0,0.030199999999999994,47.05893162554695,5.933028069707552e-5,47.058990955827646,1.2607639792524755e-6,7180.359364293201,0.5462292537938498,0.0448772460268325,19.44424874133191,18.0
161.0,0.03219999999999999,47.05891130286199,5.926328384113738e-5,47.05897056614583,1.2593408467751591e-6,7650.948578935246,0.5468222216165408,0.047818428618345274,19.441678375865177,18.0
171.0,0.034199999999999994,47.06165950344023,5.920208819632952e-5,47.06171870552843,1.2579669809078803e-6,8121.551432966757,0.5474145484767281,0.05075969645604222,19.439281406728533,18.0
181.0,0.036199999999999996,47.06007705188711,5.913820659645631e-5,47.06013619009371,1.2566518370787263e-6,8592.160115743394,0.548006249950692,0.0537010007233962,19.43682730845566,18.0
191.0,0.0382,47.058907873353796,5.907711097609591e-5,47.05896695046477,1.255384782209131e-6,9062.755040369599,0.5485973265385548,0.05664221900230998,19.434440486917474,18.0
201.0,0.04019999999999999,47.059738897786886,5.9020540045014805e-5,47.05979791832693,1.2541605076045151e-6,9533.348274225302,0.5491878147936603,0.05958342671390812,19.432171196064143,18.0
211.0,0.042199999999999994,47.05881512274411,5.8963971863512557e-5,47.058874086715974,1.2529830559664243e-6,10003.941044327958,0.5497777373532029,0.06252463152704972,19.429876822183868,18.0
221.0,0.044199999999999996,47.06003983886574,5.8911880162364554e-5,47.0600987507459,1.2518435304267356e-6,10474.535319136006,0.5503671166133323,0.06546584574460003,19.427693884167194,18.0
231.0,0.04619999999999999,47.05897076937778,5.885896047807399e-5,47.05902962833826,1.2507474323828808e-6,10945.130372177224,0.5509559708165345,0.06840706482610763,19.4254546724526,18.0
241.0,0.04819999999999999,47.05950341012615,5.880968321781184e-5,47.059562219809365,1.2496861518413436e-6,11415.722743074743,0.5515443140350139,0.07134826714421713,19.423294452584518,18.0
251.0,0.050199999999999995,47.0590457537078,5.876092642852923e-5,47.05910451463423,1.248662230924008e-6,11886.315488893912,0.5521321670832456,0.07428947180558694,19.42112180964803,18.0
261.0,0.05219999999999999,47.06110683672881,5.871670246255342e-5,47.06116555343127,1.2476678333835344e-6,12356.916251846094,0.552719555227701,0.07723072657403808,19.419047793942557,18.0
271.0,0.05419999999999999,47.06118953231136,5.867168157439809e-5,47.06124820399293,1.2467089976041066e-6,12827.527733691295,0.5533064971478857,0.08017204833557058,19.416917642818458,18.0
281.0,0.05619999999999999,47.05826887044388,5.862461021586182e-5,47.0583274950541,1.2457860985820916e-6,13298.12502570507,0.5538929786068371,0.08311328141065667,19.414712093205452,18.0
291.0,0.058199999999999995,47.05885274386859,5.85830013342829e-5,47.058911326869925,1.2448864557738483e-6,13768.710633776633,0.5544790166645878,0.08605444146110394,19.412621468806783,18.0
301.0,0.06019999999999999,47.05893940602052,5.8542119453618414e-5,47.058997948139975,1.2440154275731303e-6,14239.299594526079,0.5550646422685273,0.08899562246578797,19.410521926435813,18.0
