i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.2,0.8,909.090909090909
2,1,1,15.0,5.0,0.5,0.2,0.8,909.090909090909
3,1,1,25.0,5.0,0.5,0.2,0.8,909.090909090909
4,1,1,35.0,5.0,0.5,0.2,0.8,909.090909090909
5,1,1,45.0,5.0,0.5,0.2,0.8,909.090909090909
6,1,1,55.0,5.0,0.5,0.2,0.8,909.090909090909
7,1,1,65.0,5.0,0.5,0.2,0.8,909.090909090909
8,1,1,75.0,5.0,0.5,0.2,0.8,909.090909090909
9,1,1,85.0,5.0,0.5,0.2,0.8,909.090909090909
10,1,1,95.0,5.0,0.5,0.2,0.8,909.090909090909
11,1,1,105.0,5.0,0.5,0.2,0.8,909.090909090909
12,1,1,115.0,5.0,0.5,0.2,0.8,909.090909090909
13,1,1,125.0,5.0,0.5,0.2,0.8,909.090909090909
14,1,1,135.0,5.0,0.5,0.2,0.8,909.090909090909
15,1,1,145.0,5.0,0.5,0.2,0.8,909.090909090909
16,1,1,155.0,5.0,0.5,0.2,0.8,909.090909090909
17,1,1,165.0,5.0,0.5,0.2,0.8,909.090909090909
18,1,1,175.0,5.0,0.5,0.2,0.8,909.090909090909
19,1,1,185.0,5.0,0.5,0.2,0.8,909.090909090909
20,1,1,195.0,5.0,0.5,0.2,0.8,909.090909090909
21,1,1,205.0,5.0,0.5,0.2,0.8,909.090909090909
22,1,1,215.0,5.0,0.5,0.2,0.8,909.090909090909
23,1,1,225.0,5.0,0.5,0.2,0.8,909.090909090909
24,1,1,235.0,5.0,0.5,0.2,0.8,909.090909090909
25,1,1,245.0,5.0,0.5,0.2,0.8,909.090909090909
26,1,1,255.0,5.0,0.5,0.2,0.8,909.090909090909
27,1,1,265.0,5.0,0.5,0.2,0.8,909.090909090909
28,1,1,275.0,5.0,0.5,0.2,0.8,909.090909090909
29,1,1,285.0,5.0,0.5,0.2,0.8,909.090909090909
30,1,1,295.0,5.0,0.5,0.2,0.8,909.090909090909
31,1,1,305.0,5.0,0.5,0.2,0.8,909.090909090909
32,1,1,315.0,5.0,0.5,0.2,0.8,909.090909090909
33,1,1,325.0,5.0,0.5,0.2,0.8,909.090909090909
34,1,1,335.0,5.0,0.5,0.2,0.8,909.090909090909
35,1,1,345.0,5.0,0.5,0.2,0.8,909.090909090909
36,1,1,355.0,5.0,0.5,0.2,0.8,909.090909090909
37,1,1,365.0,5.0,0.5,0.2,0.8,909.090909090909
38,1,1,375.0,5.0,0.5,0.2,0.8,909.090909090909
39,1,1,385.0,5.0,0.5,0.2,0.8,909.090909090909
40,1,1,395.0,5.0,0.5,0.2,0.8,909.090909090909
41,1,1,405.0,5.0,0.5,0.2,0.8,909.090909090909
42,1,1,415.0,5.0,0.5,0.2,0.8,909.090909090909
43,1,1,425.0,5.0,0.5,0.2,0.8,909.090909090909
44,1,1,435.0,5.0,0.5,0.2,0.8,909.090909090909
45,1,1,445.0,5.0,0.5,0.2,0.8,909.090909090909
46,1,1,455.0,5.0,0.5,0.2,0.8,909.090909090909
47,1,1,465.0,5.0,0.5,0.2,0.8,909.090909090909
48,1,1,475.0,5.0,0.5,0.2,0.8,909.090909090909
49,1,1,485.0,5.0,0.5,0.2,0.8,909.090909090909
50,1,1,495.0,5.0,0.5,0.2,0.8,909.090909090909
1,2,1,5.0,15.0,0.5,0.2,0.8,909.090909090909
2,2,1,15.0,15.0,0.5,0.2,0.8,909.090909090909
