layer,depth_m,permeability_md,porosity,avg_So
1,0.5,90.9090909090909,0.2,0.6107129582376986
2,1.5,133.9712918660287,0.2,0.4964247324090011
3,2.5,177.03349282296648,0.2,0.411998117359472
4,3.5,220.09569377990428,0.2,0.3784038090861167
5,4.5,263.1578947368421,0.2,0.3551088647320652
6,5.5,306.22009569377985,0.2,0.3374961306053941
7,6.5,349.2822966507176,0.2,0.32350921088760926
8,7.5,392.3444976076555,0.2,0.31205153855464407
9,8.5,435.4066985645933,0.2,0.30248362873499873
10,9.5,478.46889952153106,0.2,0.29437115644955614
11,10.5,521.5311004784688,0.2,0.28740668136866854
12,11.5,564.5933014354067,0.2,0.28136419738301927
13,12.5,607.6555023923444,0.2,0.2760747462271132
14,13.5,650.7177033492823,0.2,0.2714077749821232
15,14.5,693.77990430622,0.2,0.26726174259166446
16,15.5,736.8421052631578,0.2,0.2635552574606376
17,16.5,779.9043062200956,0.2,0.2602235197918571
18,17.5,822.9665071770335,0.2,0.25721370102901137
19,18.5,866.0287081339711,0.2,0.25448281937741674
20,19.5,909.090909090909,0.2,0.25199411730081395
