time_day,injected_pv,oil_rate_m3_day,water_rate_m3_day,liquid_rate_m3_day,water_cut,cumulative_oil_m3,cumulative_water_m3,recovery_factor,injector_bhp_mpa,producer_bhp_mpa
0.1,9.999999999999998e-5,42.29485253107302,1.0762376701568341,43.371090201229855,0.024814632631169502,0.0,0.0,0.0,22.03667875447456,18.0
1.0,0.0009999999999999998,45.091428043157975,0.0002875621067466346,45.091715605264724,6.377271365409304e-6,39.32382625840395,0.48443635451861133,0.001228869570575123,23.87804129397756,18.0
11.0,0.010999999999999998,47.05528199420245,5.823830817820019e-5,47.05534023251063,1.2376556601319232e-6,500.0573764452061,0.4861653565932355,0.015626793013912687,24.07197353000944,18.0
21.0,0.020999999999999998,47.05559016577251,5.813740717571174e-5,47.05564830317968,1.2355032662844693e-6,970.6117372450809,0.48674723517000507,0.03033161678890877,24.059559814261586,18.0
31.0,0.030999999999999993,47.05589045760771,5.8036542785979e-5,47.0559484941505,1.2333518852179443e-6,1441.169140361982,0.48732810491981354,0.04503653563631193,24.029336672346144,18.0
41.0,0.040999999999999995,47.05648734754623,5.793601308762482e-5,47.056545283559316,1.231199883852642e-6,1911.7310293877517,0.48790796769918154,0.059741594668367225,23.9921021396772,18.0
51.0,0.05099999999999999,47.05687805182478,5.78352446956606e-5,47.05693588706948,1.229048249857527e-6,2382.297856384607,0.48848682398809795,0.07444680801201894,23.951308986710192,18.0
61.0,0.06099999999999999,47.05710707399633,5.77342902130583e-5,47.057164808286544,1.2268969124738165e-6,2852.8677820137123,0.48906467166264156,0.0891521181879285,23.90833741904317,18.0
71.0,0.071,47.05787040917083,5.763393768015058e-5,47.05792804310851,1.2247444814687478e-6,3323.442669429548,0.4896415128021076,0.10385758341967335,23.863950536113602,18.0
81.0,0.08099999999999999,47.05816468506833,5.7533049897649604e-5,47.058222218118225,1.2225929324524799e-6,3794.0228449007436,0.4902173477399966,0.11856321390314821,23.818404599463346,18.0
91.0,0.09099999999999998,47.05864134407051,5.743236527450837e-5,47.05869877643578,1.2204409974732898e-6,4264.606875046438,0.49079217481585735,0.13326896484520118,23.772033935230024,18.0
101.0,0.10099999999999998,47.05885689652945,5.733138372589056e-5,47.05891422791318,1.2182895561131376e-6,4735.194366249438,0.49136599356085936,0.1479748239452949,23.724927305730088,18.0
111.0,0.11099999999999997,47.059363112879964,5.723072739947632e-5,47.059420343607364,1.2161375338158121e-6,5205.785466296485,0.4919388041164862,0.16268079582176512,23.677296722662398,18.0
121.0,0.12099999999999998,47.06004582570037,5.713026746725011e-5,47.060102955967835,1.2139851780754602e-6,5676.382510989386,0.49251060909081984,0.17738695346841826,23.62918359816872,18.0
131.0,0.13099999999999998,47.06059118028753,5.702965883714995e-5,47.06064820994637,1.2118332621074395e-6,6146.985696019326,0.49308140872234185,0.19209330300060387,23.580635613818146,18.0
141.0,0.141,47.06108263911112,5.6929020670761804e-5,47.06113956813179,1.2096821537511643e-6,6617.594065116319,0.4936512021198814,0.2067998145348849,23.531718216011125,18.0
151.0,0.15099999999999997,47.061437533828546,5.682834358575485e-5,47.061494362172134,1.2075337673814556e-6,7088.206665981017,0.494219988941164,0.22150645831190674,23.482465671585008,18.0
161.0,0.16099999999999998,47.06247596497628,5.672881644669061e-5,47.062532693792726,1.2053923407775463e-6,7558.826233475042,0.4947877747413262,0.236213319796095,23.43297412512513,18.0
171.0,0.17099999999999996,47.06261950242266,5.66297054668391e-5,47.06267613212813,1.203282731051069e-6,8029.451710812036,0.49535456735089384,0.2509203659628761,23.383117768727907,18.0
181.0,0.18099999999999997,47.0631375492029,5.666638005965875e-5,47.06319421558296,1.2040487477345111e-6,8500.080496070164,0.4959210477785263,0.2656275155021926,23.333078540104495,18.0
191.0,0.19099999999999998,47.063526346213614,0.00021479090504455438,47.06374113711866,4.563829815797434e-6,8970.713815547248,0.4972783342040474,0.2803348067358514,23.282813902102184,18.0
201.0,0.20099999999999996,46.985498993201595,0.06719639323052545,47.05269538643212,0.0014281093288845228,9440.958942244324,0.8343342548818975,0.29502996694513506,23.2318392945433,18.0
211.0,0.21099999999999997,46.0357155571496,0.8772185829132001,46.9129341400628,0.018698864161729573,9906.06501499608,5.556409135600525,0.3095645317186274,23.17536521719275,18.0
221.0,0.22099999999999995,43.569536532478764,2.977762903020778,46.54729943549954,0.06397283922232815,10354.091275444222,24.831316565270413,0.32356535235763184,23.10911430610447,18.0
231.0,0.23099999999999996,40.2785634202928,5.778979781343125,46.05754320163592,0.12547303611144114,10773.33177520808,68.61502998708993,0.33666661797525244,23.035822685353427,18.0
241.0,0.24099999999999996,36.968814474241306,8.593689622606274,45.562504096847576,0.18861319835142384,11159.568664680752,140.47837700683692,0.34873652077127343,22.960256156997882,18.0
251.0,0.25099999999999995,33.98841764003338,11.127540627054863,45.115958267088246,0.2466431181884553,11514.354825252125,239.0845282551426,0.3598235882891288,22.885917313132186,18.0
261.0,0.26099999999999995,31.40756403007316,13.320870523096401,44.72843455316956,0.29781660494425805,11841.334733602658,361.3265840058989,0.370041710425083,22.814515546837296,18.0
271.0,0.27099999999999996,29.18738679466887,15.207133847603297,44.39452064227217,0.3425452877426311,12144.309487726368,503.9666058593974,0.37950967149144893,22.74659884535062,18.0
281.0,0.28099999999999997,27.275691358490715,16.830632105139,44.106323463629714,0.38159227030150494,12426.624878492166,664.1554356231089,0.3883320274528801,22.682302794496813,18.0
291.0,0.2909999999999999,25.60922929253185,18.246947838061793,43.85617713059364,0.41606334687418295,12691.049481747279,839.5433353391129,0.3965952963046024,22.62156491822571,18.0
301.0,0.30099999999999993,24.156594997009673,19.4808483392879,43.63744333629757,0.4464250618249157,12939.878603194986,1028.1823162258613,0.4043712063498432,22.564129087521938,18.0
311.0,0.31099999999999994,22.862661532357667,20.57999715842452,43.44265869078218,0.47372784674413254,13174.974885841822,1228.4865437144235,0.4117179651825569,22.509668848473595,18.0
321.0,0.32099999999999995,21.707188791690147,21.561460606172734,43.26864939786288,0.4983160072298835,13397.824137462061,1439.19383253741,0.4186820042956893,22.45798819554892,18.0
331.0,0.33099999999999996,20.677931361421237,22.435698277073538,43.11362963849477,0.5203852810629849,13609.749738227618,1659.1796269536412,0.42530467931961297,22.408955447179977,18.0
341.0,0.3409999999999999,19.741234732977578,23.231313981946794,42.97254871492437,0.540608241230024,13811.845568699611,1887.514688248743,0.43162017402186276,22.36225748031556,18.0
351.0,0.3509999999999999,18.880234562864008,23.962650687765215,42.84288525062922,0.5593145874182991,14004.95291517882,2123.484511597303,0.437654778599338,22.317688870636562,18.0
361.0,0.36099999999999993,18.096536167818993,24.627757334208017,42.72429350202701,0.5764345133767883,14189.836768832234,2366.436551707169,0.44343239902600723,22.275102890111263,18.0
371.0,0.37099999999999994,17.38412112575225,25.23325186720431,42.61737299295656,0.5920883924819732,14367.24005530009,2615.741597714231,0.4489762517281277,22.234547553540725,18.0
381.0,0.38099999999999995,16.72440061149483,25.79356550436995,42.51796611586478,0.6066509727694986,14537.782663986325,2870.8756845721023,0.45430570824957256,22.19568815656801,18.0
391.0,0.3909999999999999,16.104886608222337,26.31957010099746,42.4244567092198,0.620386733091095,14701.929100084912,3131.441362598939,0.4594352843776534,22.15837213073125,18.0
401.0,0.4009999999999999,15.525823996916246,26.81168721115703,42.33751120807327,0.6332844431829604,14860.082653110605,3397.0976491597116,0.4643775829097063,22.12257982439973,18.0
411.0,0.4109999999999999,14.98977148236541,27.26700894629596,42.25678042866137,0.6452694377019232,15012.660630507013,3667.491129946977,0.469145644703344,22.0882009950753,18.0
421.0,0.42099999999999993,14.494501858687938,27.687567137686557,42.1820689963745,0.6563823870295759,15160.081997212279,3942.264010366889,0.4737525624128836,22.05517139808468,18.0
431.0,0.43099999999999994,14.032394096692087,28.08001769501788,42.11241179170997,0.6667872130882223,15302.716476989179,4221.101934530411,0.47820988990591173,22.023409812521244,18.0
441.0,0.4409999999999999,13.594891618649509,28.451612310567988,42.046503929217494,0.6766701069478783,15440.852905565887,4503.76008455834,0.48252665329893385,21.99280446924083,18.0
451.0,0.4509999999999999,13.177713707681171,28.80602541554345,41.98373912322462,0.6861233900819589,15574.715932197541,4790.048273188897,0.48670987288117307,21.96326102937377,18.0
