case,rhythm,contrast,pore_volume_m3,breakthrough_pv,RF_BT,RF_80,RF_90,RF_98,terminal_pv,terminal_RF
P-2,positive,2.0,200000.00000000003,0.28619999999999995,0.4206985890658549,missing,missing,missing,0.40019999999999994,0.5286569464271587
P-5,positive,5.0,200000.00000000003,0.23219999999999996,0.3413865656196335,missing,missing,missing,0.40019999999999994,0.4810785009547622
P-10,positive,10.0,200000.00000000003,0.21419999999999997,0.3148695074337538,missing,missing,missing,0.40019999999999994,0.4593946308732256
R-2,reverse,2.0,200000.00000000003,0.28619999999999995,0.42069934384038643,missing,missing,missing,0.40019999999999994,0.5286611573275862
R-5,reverse,5.0,200000.00000000003,0.23219999999999996,0.3413894642656893,missing,missing,missing,0.40019999999999994,0.4810827844055306
R-10,reverse,10.0,200000.00000000003,0.21419999999999997,0.31487082364127467,missing,missing,missing,0.40019999999999994,0.459397713570551
C-2,compound,2.0,200000.00000000003,0.29019999999999996,0.42656609438766757,missing,missing,missing,0.40019999999999994,0.5284292617370876
C-5,compound,5.0,200000.00000000003,0.23419999999999996,0.34432569080401937,missing,missing,missing,0.40019999999999994,0.4786477005973986
C-10,compound,10.0,200000.00000000003,0.21419999999999997,0.31494022948440553,missing,missing,missing,0.40019999999999994,0.4552832870096382
