layer,depth_m,permeability_md,porosity,avg_So
1,0.5,333.3333333333333,0.2,0.5841103578588258
2,1.5,350.8771929824561,0.2,0.5587432225907834
3,2.5,368.4210526315789,0.2,0.535506657647563
4,3.5,385.96491228070175,0.2,0.5134930935454027
5,4.5,403.50877192982455,0.2,0.49228090627992444
6,5.5,421.05263157894734,0.2,0.47325100540053117
7,6.5,438.59649122807014,0.2,0.45737354979645134
8,7.5,456.14035087719293,0.2,0.4442175437450023
9,8.5,473.6842105263157,0.2,0.43327923398483703
10,9.5,491.2280701754386,0.2,0.4240394034102371
11,10.5,508.77192982456137,0.2,0.41614273789246586
12,11.5,526.3157894736842,0.2,0.40937245732795646
13,12.5,543.859649122807,0.2,0.40347113990352784
14,13.5,561.4035087719299,0.2,0.3982122359751846
15,14.5,578.9473684210526,0.2,0.3934164421662834
16,15.5,596.4912280701753,0.2,0.38895004577922193
17,16.5,614.0350877192982,0.2,0.38472859433076156
18,17.5,631.578947368421,0.2,0.3806976230081285
19,18.5,649.1228070175438,0.2,0.3768199332324796
20,19.5,666.6666666666666,0.2,0.373066504628467
