time_day,injected_pv,oil_rate_m3_day,water_rate_m3_day,liquid_rate_m3_day,water_cut,cumulative_oil_m3,cumulative_water_m3,recovery_factor,injector_bhp_mpa,producer_bhp_mpa
0.1,1.9999999999999998e-5,129.6114416255028,1.1919170750457118,130.80335870054853,0.009112281877825461,0.0,0.0,0.0,20.393554990739844,18.0
1.0,0.00019999999999999998,54.42292860187899,9.552376239786137e-5,54.42302412564139,1.7552086443659307e-6,82.8154666023218,0.5364056694636493,0.0005175966662645112,19.845553296394858,18.0
11.0,0.0021999999999999997,47.06413833004845,5.9569568370434076e-5,47.06419789961682,1.2657087771364966e-6,590.2508012619589,0.5371811361174907,0.0036890675078872425,19.61839878820429,18.0
21.0,0.0042,47.05869493486704,5.944298262495908e-5,47.05875437784967,1.2631652369646785e-6,1060.8649675865363,0.5377761988724677,0.006630406047415851,19.584671083081727,18.0
31.0,0.006199999999999999,47.058575965442046,5.932776475446708e-5,47.0586352932068,1.2607200439370031e-6,1531.4513220880817,0.5383700526093649,0.00957157076305051,19.5647785203242,18.0
41.0,0.008199999999999999,47.059266308947315,5.9218353647577905e-5,47.05932552730096,1.2583765913351864e-6,2002.0405334600287,0.5389627832013751,0.012512753334125177,19.551362814275638,18.0
51.0,0.010199999999999999,47.06002898083759,5.9113559792730895e-5,47.060088094397386,1.2561293908790728e-6,2472.637009908953,0.5395544427685767,0.015453981311930954,19.54147000883358,18.0
61.0,0.012199999999999999,47.05873422612739,5.901069022065682e-5,47.058793236817614,1.2539779743966817e-6,2943.230825943778,0.5401450640186436,0.01839519266214861,19.533695598129558,18.0
71.0,0.014199999999999997,47.059057392705014,5.8913869687130454e-5,47.0591163065747,1.2519119420629559e-6,3413.8197840379403,0.5407346868181825,0.021336373650237123,19.527425072501487,18.0
81.0,0.0162,47.058856972338894,5.882033765709812e-5,47.05891579267655,1.2499297246081456e-6,3884.40935586316,0.5413233578549036,0.024277558474144745,19.52212872744069,18.0
91.0,0.018199999999999997,47.05869693539408,5.873056181380853e-5,47.05875566595589,1.2480262383201192e-6,4354.997125401825,0.5419111123522581,0.0272187320337614,19.517554792252724,18.0
101.0,0.020199999999999996,47.058721758000225,5.864454078182037e-5,47.058780402541004,1.246197633686524e-6,4825.584218868797,0.5424979878652362,0.030159901367929974,19.51352642513148,18.0
111.0,0.022199999999999998,47.05865684377423,5.856175816273078e-5,47.05871540553239,1.2444402202242447e-6,5296.171111877669,0.543084019359959,0.03310106944923543,19.50989967944402,18.0
121.0,0.024199999999999996,47.05869046443116,5.8482271335986537e-5,47.058748946702494,1.2427502355029036e-6,5766.757848418696,0.5436692395074526,0.036042236552616846,19.506589027994767,18.0
131.0,0.026199999999999998,47.05867852285575,5.840575444779724e-5,47.058736928610195,1.2411245660163145e-6,6237.34469335513,0.5442536796363715,0.03898340433346956,19.50352288886692,18.0
141.0,0.028199999999999996,47.05715263153172,5.833036363388512e-5,47.05721096189536,1.239562703389247e-6,6707.923849127068,0.5448373602267799,0.041924524057044166,19.500605224599575,18.0
151.0,0.030199999999999994,47.058685187305095,5.8261236028385e-5,47.05874344854112,1.2380533724215104e-6,7178.503038221252,0.5454203182250912,0.04486564398888281,19.497936869448278,18.0
161.0,0.03219999999999999,47.05712119507247,5.819113570818184e-5,47.057179386208176,1.2366048383519747e-6,7649.0820701331395,0.546002580083774,0.047806762938332116,19.495300948633293,18.0
171.0,0.034199999999999994,47.058690426839036,5.812711437812826e-5,47.058748553953414,1.2352031484960725e-6,8119.661128242697,0.5465841713342056,0.05074788205151685,19.492864896774382,18.0
181.0,0.036199999999999996,47.05877814614382,5.8063728366252216e-5,47.05883620987219,1.2338538953088554e-6,8590.24847110761,0.5471651255479275,0.053689052944422555,19.4904633889097,18.0
191.0,0.0382,47.058799282166014,5.800250365707477e-5,47.05885728466967,1.2325523186040091e-6,9060.83635824916,0.5477454567080442,0.05663022723905724,19.488132652692933,18.0
201.0,0.04019999999999999,47.06014162913231,5.7944924319394576e-5,47.06019957405663,1.231293637593039e-6,9531.431062805652,0.5483251938479266,0.05957144414253531,19.485900171726822,18.0
211.0,0.042199999999999994,47.059565045913395,5.788716314111958e-5,47.05962293307653,1.2300813209540775e-6,10002.02959618088,0.5489043542852291,0.0625126849761305,19.48365510361315,18.0
221.0,0.044199999999999996,47.06000402170049,5.783249582775549e-5,47.06006185419632,1.228908198355855e-6,10472.627441518951,0.5494829525800735,0.06545392150949343,19.481480069356888,18.0
231.0,0.04619999999999999,47.059757038730716,5.777888178065744e-5,47.0598148176125,1.2277753749050718e-6,10943.226246821107,0.5500610094681155,0.0683951640426319,19.47931940085961,18.0
241.0,0.04819999999999999,47.05833621199739,5.772567850205525e-5,47.058393937675895,1.2266818663320108e-6,11413.816713074748,0.5506385322695291,0.07133635445671715,19.47715422722438,18.0
251.0,0.050199999999999995,47.05883053749426,5.7676338548248356e-5,47.05888821383281,1.2256205094810246e-6,11884.402546822206,0.5512155423547807,0.07427751591763877,19.4750694126664,18.0
261.0,0.05219999999999999,47.05797090379838,5.762704480135867e-5,47.05802853084318,1.2245953899999923e-6,12354.98655402867,0.5517920592715286,0.07721866596267918,19.47296645606703,18.0
271.0,0.05419999999999999,47.057795821156745,5.758005291995789e-5,47.05785340120966,1.2236013493653697e-6,12825.565387653445,0.5523680947601353,0.08015978367283402,19.47089899693684,18.0
281.0,0.05619999999999999,47.05666860845136,5.7533427159515834e-5,47.05672614187852,1.2226398195669097e-6,13296.137709801485,0.5529436621605326,0.08310086068625927,19.468819194418504,18.0
291.0,0.058199999999999995,47.058667857466006,5.7491741466141404e-5,47.05872534920747,1.2217020550283485e-6,13766.714392131073,0.5535187880036608,0.08604196495081919,19.466845688323197,18.0
301.0,0.06019999999999999,47.05836317144189,5.744874840772036e-5,47.0584206201903,1.220796355903881e-6,14237.299547275612,0.5540934904530301,0.08898312217047256,19.46481299785795,18.0
311.0,0.06219999999999999,47.0595719232457,5.740873379566195e-5,47.059629331979494,1.2199147041867942e-6,14707.88922274905,0.5546677778640471,0.09192430764218155,19.46283512276062,18.0
321.0,0.0642,47.057979651558824,5.7366739259172364e-5,47.05803701829808,1.2190635839073746e-6,15178.476980623072,0.5552416552293212,0.09486548112889419,19.460785917321015,18.0
331.0,0.0662,47.059686661397755,5.732964086900984e-5,47.05974399103862,1.2182310400993015e-6,15649.065312187855,0.5558151371299621,0.09780665820117408,19.458836434798,18.0
341.0,0.0682,47.0590880007051,5.729102095568751e-5,47.05914529172606,1.217425871220836e-6,16119.659185498369,0.5563882404390856,0.10074786990936478,19.45682633139814,18.0
351.0,0.07019999999999998,47.05867052874088,5.725366043445645e-5,47.05872778240132,1.2166427596427236e-6,16590.2479781456,0.5569609638460363,0.10368904986340997,19.45482962847722,18.0
361.0,0.07219999999999999,47.05970066946669,5.721894318033328e-5,47.05975788840988,1.2158784011599317e-6,17060.839834136637,0.5575333268641103,0.10663024896335396,19.452876496107447,18.0
371.0,0.07419999999999999,47.0590082737208,5.7183234593838385e-5,47.059065456955395,1.2151374881454775e-6,17531.433378852576,0.5581053377529811,0.10957145861782858,19.450878163441207,18.0
381.0,0.07619999999999999,47.05973847234112,5.7150057005554946e-5,47.05979562239812,1.2144136252549802e-6,18002.027112582888,0.5586770042109781,0.11251266945364302,19.448923368760635,18.0
391.0,0.07819999999999999,47.05904173015188,5.71161442000542e-5,47.05909884629608,1.2137109634548323e-6,18472.62101359535,0.5592483352170061,0.11545388133497092,19.446932039402558,18.0
