i,j,k,x_m,y_m,depth_m,Sw,So,permeability_md
1,1,1,5.0,5.0,0.5,0.2785170923379992,0.7214829076620008,166.66666666666666
2,1,1,15.0,5.0,0.5,0.23452499454472794,0.765475005455272,166.66666666666666
3,1,1,25.0,5.0,0.5,0.20727687295522576,0.7927231270447742,166.66666666666666
4,1,1,35.0,5.0,0.5,0.20054409335847884,0.7994559066415212,166.66666666666666
5,1,1,45.0,5.0,0.5,0.20002792762471078,0.7999720723752892,166.66666666666666
6,1,1,55.0,5.0,0.5,0.20001486883440625,0.7999851311655938,166.66666666666666
7,1,1,65.0,5.0,0.5,0.2000148299898086,0.7999851700101914,166.66666666666666
8,1,1,75.0,5.0,0.5,0.20001518501295035,0.7999848149870497,166.66666666666666
9,1,1,85.0,5.0,0.5,0.2000155701481018,0.7999844298518982,166.66666666666666
10,1,1,95.0,5.0,0.5,0.2000159720776446,0.7999840279223553,166.66666666666666
11,1,1,105.0,5.0,0.5,0.2000163889647342,0.7999836110352658,166.66666666666666
12,1,1,115.0,5.0,0.5,0.20001682032345075,0.7999831796765493,166.66666666666666
13,1,1,125.0,5.0,0.5,0.20001726480722923,0.7999827351927707,166.66666666666666
14,1,1,135.0,5.0,0.5,0.20001772184270736,0.7999822781572926,166.66666666666666
15,1,1,145.0,5.0,0.5,0.20001819095606627,0.7999818090439337,166.66666666666666
16,1,1,155.0,5.0,0.5,0.20001867115966798,0.799981328840332,166.66666666666666
17,1,1,165.0,5.0,0.5,0.2000191618902341,0.799980838109766,166.66666666666666
18,1,1,175.0,5.0,0.5,0.20001966214800712,0.7999803378519929,166.66666666666666
19,1,1,185.0,5.0,0.5,0.2000201704663406,0.7999798295336594,166.66666666666666
20,1,1,195.0,5.0,0.5,0.20002068490809563,0.7999793150919043,166.66666666666666
21,1,1,205.0,5.0,0.5,0.20002120259671666,0.7999787974032834,166.66666666666666
22,1,1,215.0,5.0,0.5,0.20002172019705125,0.7999782798029488,166.66666666666666
23,1,1,225.0,5.0,0.5,0.20002223455950283,0.7999777654404971,166.66666666666666
24,1,1,235.0,5.0,0.5,0.20002274360814135,0.7999772563918587,166.66666666666666
25,1,1,245.0,5.0,0.5,0.2000232464149501,0.7999767535850499,166.66666666666666
26,1,1,255.0,5.0,0.5,0.20002374334018413,0.7999762566598159,166.66666666666666
27,1,1,265.0,5.0,0.5,0.2000242356796377,0.7999757643203623,166.66666666666666
28,1,1,275.0,5.0,0.5,0.2000247249568211,0.7999752750431789,166.66666666666666
29,1,1,285.0,5.0,0.5,0.20002521242448695,0.799974787575513,166.66666666666666
30,1,1,295.0,5.0,0.5,0.20002569892826366,0.7999743010717364,166.66666666666666
31,1,1,305.0,5.0,0.5,0.20002618497890992,0.7999738150210901,166.66666666666666
32,1,1,315.0,5.0,0.5,0.20002667087105835,0.7999733291289417,166.66666666666666
33,1,1,325.0,5.0,0.5,0.20002715677897756,0.7999728432210225,166.66666666666666
34,1,1,335.0,5.0,0.5,0.2000276428184176,0.7999723571815824,166.66666666666666
35,1,1,345.0,5.0,0.5,0.2000281290832966,0.7999718709167034,166.66666666666666
36,1,1,355.0,5.0,0.5,0.2000286156666197,0.7999713843333803,166.66666666666666
37,1,1,365.0,5.0,0.5,0.20002910267197874,0.7999708973280213,166.66666666666666
38,1,1,375.0,5.0,0.5,0.20002959021770056,0.7999704097822995,166.66666666666666
39,1,1,385.0,5.0,0.5,0.20003007843201595,0.7999699215679841,166.66666666666666
40,1,1,395.0,5.0,0.5,0.20003056743229988,0.7999694325677001,166.66666666666666
41,1,1,405.0,5.0,0.5,0.20003105727331508,0.799968942726685,166.66666666666666
42,1,1,415.0,5.0,0.5,0.200031547834478,0.799968452165522,166.66666666666666
43,1,1,425.0,5.0,0.5,0.20003203858959734,0.7999679614104027,166.66666666666666
44,1,1,435.0,5.0,0.5,0.2000325281555776,0.7999674718444224,166.66666666666666
45,1,1,445.0,5.0,0.5,0.20003301343722996,0.7999669865627701,166.66666666666666
46,1,1,455.0,5.0,0.5,0.20003348807452007,0.79996651192548,166.66666666666666
47,1,1,465.0,5.0,0.5,0.2000339397929614,0.7999660602070386,166.66666666666666
48,1,1,475.0,5.0,0.5,0.20003434637275339,0.7999656536272466,166.66666666666666
49,1,1,485.0,5.0,0.5,0.20003467099556413,0.7999653290044358,166.66666666666666
50,1,1,495.0,5.0,0.5,0.20003486149798927,0.7999651385020108,166.66666666666666
1,2,1,5.0,15.0,0.5,0.47415216258508336,0.5258478374149167,166.66666666666666
2,2,1,15.0,15.0,0.5,0.41581159822871006,0.58418840177129,166.66666666666666
