layer,depth_m,permeability_md,porosity,avg_So
1,0.5,833.3333333333333,0.2,0.35007292953197006
2,1.5,798.2456140350877,0.2,0.35526421868589
3,2.5,763.1578947368421,0.2,0.36075203338722345
4,3.5,728.0701754385964,0.2,0.3665839186451756
5,4.5,692.9824561403508,0.2,0.3728179832584915
6,5.5,657.8947368421052,0.2,0.3795330550325153
7,6.5,622.8070175438596,0.2,0.38685334450821607
8,7.5,587.719298245614,0.2,0.39502161374368266
9,8.5,552.6315789473683,0.2,0.4045900132066819
10,9.5,517.5438596491229,0.2,0.4165682224777319
11,10.5,482.45614035087715,0.2,0.43214929793553586
12,11.5,447.3684210526315,0.2,0.4526076711107662
13,12.5,412.2807017543859,0.2,0.4799515244158924
14,13.5,377.19298245614027,0.2,0.5148120651872798
15,14.5,342.10526315789474,0.2,0.5518308599258098
16,15.5,307.0175438596491,0.2,0.5879531479447317
17,16.5,271.9298245614035,0.2,0.6227471585092175
18,17.5,236.8421052631578,0.2,0.6559293878333023
19,18.5,201.75438596491233,0.2,0.6872139688569584
20,19.5,166.66666666666663,0.2,0.7152650423517591
